Order Name,Created at,Source Name,Total Discounts,Order Status,Total Product,Store,Carrier Status Code,Cancel Reason,Sales Program,Giới tính,Funnel,Category,Sub-category,Price,Subtotal Price
102479,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
102487,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
102519,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,420000
102523,7/27/2023,Instagram,0,complete,5,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần tây,420000,2100000
102525,7/27/2023,Instagram,0,complete,5,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,1900000
100961,7/27/2023,Shopee,0,carrier_delivery,1,KHO ĐƠN HÀNG,carrier_delivery,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
100963,7/27/2023,Hotline,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
100973,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Daily use,Áo croptop sơ mi,280000,280000
100981,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Váy,Váy liền,430000,430000
100982,7/27/2023,Instagram,0,prepared,1,37 Nguyễn Văn Huyên,prepared,,Đặt trước,Chị,,Quần,Quần ống rộng,380000,380000
101004,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
101005,7/27/2023,Zalo,0,complete,1,37 Nguyễn Văn Huyên,complete,,Tự vận chuyển,Chị,,Trang sức sự kiện,Thắt lưng đính đá,200000,200000
101010,7/27/2023,Instagram,0,complete,1,Kho Online,complete,,Hãng vận chuyển,Chị,,Váy,Váy liền,430000,430000
101020,7/27/2023,Facebook,0,complete,1,37 Nguyễn Văn Huyên,complete,,Đặt trước,Chị,,Trang sức sự kiện,Thắt lưng đính đá,200000,200000
101021,7/27/2023,Facebook,0,packing,1,KHO ĐƠN HÀNG,packing,,Hãng vận chuyển,Chị,,Quần,Quần ống rộng,380000,380000
